Lot,SKU,Correct Lot Name,Manufacturing Date,Expiration Date,Total Units in Lot
SLQ-05022025,211810SPT,SLQ-05022025,5/31/2025,5/31/2028,3268
SLQ-81020515241,211810SPT,SLQ-81020515241,5/15/2024,5/15/2027,380
SLQ-81020330231,211810SPT,SLQ-81020330231,,,
SLQ-01242025,211810SPT,SLQ-01242025,1/31/2025,1/31/2028,369
SLQ-81020403231,211810SPT,SLQ-81020403231,,,
SLQ-050220,211810SPT,SLQ-05022025,5/31/2025,5/31/2028,3268
SLQ-11202024,211610SPT,SLQ-11202024,11/30/2024,11/30/2027,944
SLQ-81041201231,211610SPT,SLQ-81041201231,,,
SLQ-81040413231,211610SPT,SLQ-81040413231,,,
05012025,211610SPT,SLQ-05012025,5/31/2025,5/31/2028,1298
SLQ-05012025,211610SPT,SLQ-05012025,5/31/2025,5/31/2028,1298
11202024,211610SPT,SLQ-11202024,11/30/2024,11/30/2027,944
SLQ-112020024,211610SPT,SLQ-11202024,11/30/2024,11/30/2027,944
SLQ-8104041323,211610SPT,SLQ-8104041323,,,
SLQ-81000412231,211410SPT,SLQ-81000412231,,,
SLQ-81000405231,211410SPT,SLQ-81000405231,,,
SLQ-81000406232,211410SPT,SLQ-81000406232,,,
SLQ-11192024,211410SPT,SLQ-11192024,11/30/2024,11/30/2027,221
11192024,211410SPT,SLQ-11192024,11/30/2024,11/30/2027,221
