Path,Top-Level Folder,Parent Folder,Depth,Filename,Type,Size (KB)
"CAPA, NCMR, PCF Logs/CAPA 001-2025/(CAPA001) NCR-25-079 SLQ-211610SPT Phase 1 - signed.pdf","CAPA, NCMR, PCF Logs","CAPA, NCMR, PCF Logs/CAPA 001-2025",1,(CAPA001) NCR-25-079 SLQ-211610SPT Phase 1 - signed.pdf,PDF,314
"CAPA, NCMR, PCF Logs/CAPA 001-2025/(CAPA001) NCR-25-079 SLQ-211610SPT Phase 2,3- signed.pdf","CAPA, NCMR, PCF Logs","CAPA, NCMR, PCF Logs/CAPA 001-2025",1,"(CAPA001) NCR-25-079 SLQ-211610SPT Phase 2,3- signed.pdf",PDF,2067
"CAPA, NCMR, PCF Logs/CAPA 001-2025/CAPA 001-2025.docx","CAPA, NCMR, PCF Logs","CAPA, NCMR, PCF Logs/CAPA 001-2025",1,CAPA 001-2025.docx,Word,610
"CAPA, NCMR, PCF Logs/CAPA 001-2025/CAPA 001-2025.pdf","CAPA, NCMR, PCF Logs","CAPA, NCMR, PCF Logs/CAPA 001-2025",1,CAPA 001-2025.pdf,PDF,878
"CAPA, NCMR, PCF Logs/CAPA 001-2025/SLQ-6000_B - Catheter, 14 Fr x 10 mL, Silicone, NY Foley, 2-Way.pdf","CAPA, NCMR, PCF Logs","CAPA, NCMR, PCF Logs/CAPA 001-2025",1,"SLQ-6000_B - Catheter, 14 Fr x 10 mL, Silicone, NY Foley, 2-Way.pdf",PDF,97
"CAPA, NCMR, PCF Logs/CAPA 001-2025/SLQ-6002_B - Catheter, 18 Fr x 10 mL, Silicone, NY Foley, 2-Way.pdf","CAPA, NCMR, PCF Logs","CAPA, NCMR, PCF Logs/CAPA 001-2025",1,"SLQ-6002_B - Catheter, 18 Fr x 10 mL, Silicone, NY Foley, 2-Way.pdf",PDF,116
"CAPA, NCMR, PCF Logs/CAPA 001-2025/SLQ-6004_B-Catheter, 16 Fr x 10 mL, Silicone, NY Foley, 2-Way.pdf","CAPA, NCMR, PCF Logs","CAPA, NCMR, PCF Logs/CAPA 001-2025",1,"SLQ-6004_B-Catheter, 16 Fr x 10 mL, Silicone, NY Foley, 2-Way.pdf",PDF,100
"CAPA, NCMR, PCF Logs/NCMR-0001.pdf","CAPA, NCMR, PCF Logs","CAPA, NCMR, PCF Logs",0,NCMR-0001.pdf,PDF,14624
"CAPA, NCMR, PCF Logs/Silq CAPA Log.pdf","CAPA, NCMR, PCF Logs","CAPA, NCMR, PCF Logs",0,Silq CAPA Log.pdf,PDF,283
"CAPA, NCMR, PCF Logs/Silq Complaints and Reportable Events Log.pdf","CAPA, NCMR, PCF Logs","CAPA, NCMR, PCF Logs",0,Silq Complaints and Reportable Events Log.pdf,PDF,369
Chico Facility Referenced Docs/MP-C.SLQ001 B Manufacturing Procedure. Suspension Processing.docx,Chico Facility Referenced Docs,Chico Facility Referenced Docs,0,MP-C.SLQ001 B Manufacturing Procedure. Suspension Processing.docx,Word,16313
"Chico Facility Referenced Docs/OM.SLQ001 A Operations Manufacturing Procedure, Fume Hood.docx",Chico Facility Referenced Docs,Chico Facility Referenced Docs,0,"OM.SLQ001 A Operations Manufacturing Procedure, Fume Hood.docx",Word,152
Chico Facility Referenced Docs/QM.SLQ046 A Shipping SOP.docx,Chico Facility Referenced Docs,Chico Facility Referenced Docs,0,QM.SLQ046 A Shipping SOP.docx,Word,156
Chico Facility Referenced Docs/QM.SLQ051 A Environmental Monitoring.docx,Chico Facility Referenced Docs,Chico Facility Referenced Docs,0,QM.SLQ051 A Environmental Monitoring.docx,Word,158
"Chico Facility Referenced Docs/SP-L.SLQ005 A Specification, Artwork, Label, Suspension.docx",Chico Facility Referenced Docs,Chico Facility Referenced Docs,0,"SP-L.SLQ005 A Specification, Artwork, Label, Suspension.docx",Word,286
"Chico Facility Referenced Docs/V&V Protocols & Reports/VV.SLQ010 A Master Validation Plan, Suspension.docx",Chico Facility Referenced Docs,Chico Facility Referenced Docs/V&V Protocols & Reports,1,"VV.SLQ010 A Master Validation Plan, Suspension.docx",Word,329
"Chico Facility Referenced Docs/V&V Protocols & Reports/VV.SLQ011 A Installation Qualification Protocol, Diafiltration System.docx",Chico Facility Referenced Docs,Chico Facility Referenced Docs/V&V Protocols & Reports,1,"VV.SLQ011 A Installation Qualification Protocol, Diafiltration System.docx",Word,332
"Chico Facility Referenced Docs/V&V Protocols & Reports/VV.SLQ012 A Installation Qualification Protocol, Peristaltic Pump.docx",Chico Facility Referenced Docs,Chico Facility Referenced Docs/V&V Protocols & Reports,1,"VV.SLQ012 A Installation Qualification Protocol, Peristaltic Pump.docx",Word,332
"Chico Facility Referenced Docs/V&V Protocols & Reports/VV.SLQ013 A Installation Qualification Protocol, Pneumatic Drum Stirrer.docx",Chico Facility Referenced Docs,Chico Facility Referenced Docs/V&V Protocols & Reports,1,"VV.SLQ013 A Installation Qualification Protocol, Pneumatic Drum Stirrer.docx",Word,331
"Chico Facility Referenced Docs/V&V Protocols & Reports/VV.SLQ014 A Installation Qualification Protocol, Waste Diaphragm Pump.docx",Chico Facility Referenced Docs,Chico Facility Referenced Docs/V&V Protocols & Reports,1,"VV.SLQ014 A Installation Qualification Protocol, Waste Diaphragm Pump.docx",Word,332
"Chico Facility Referenced Docs/V&V Protocols & Reports/VV.SLQ015 A Installation Qualification Protocol, Floor Scale, Concentrate Reactor.docx",Chico Facility Referenced Docs,Chico Facility Referenced Docs/V&V Protocols & Reports,1,"VV.SLQ015 A Installation Qualification Protocol, Floor Scale, Concentrate Reactor.docx",Word,332
"Chico Facility Referenced Docs/V&V Protocols & Reports/VV.SLQ016 A Installation Qualification Protocol, Floor Scale, Suspension.docx",Chico Facility Referenced Docs,Chico Facility Referenced Docs/V&V Protocols & Reports,1,"VV.SLQ016 A Installation Qualification Protocol, Floor Scale, Suspension.docx",Word,332
"Chico Facility Referenced Docs/V&V Protocols & Reports/VV.SLQ017 A Installation Qualification Protocol, Weighing Scale.docx",Chico Facility Referenced Docs,Chico Facility Referenced Docs/V&V Protocols & Reports,1,"VV.SLQ017 A Installation Qualification Protocol, Weighing Scale.docx",Word,332
"Chico Facility Referenced Docs/V&V Protocols & Reports/VV.SLQ019 A Report, Installation Qualification, Diafiltration System, ST-005.docx",Chico Facility Referenced Docs,Chico Facility Referenced Docs/V&V Protocols & Reports,1,"VV.SLQ019 A Report, Installation Qualification, Diafiltration System, ST-005.docx",Word,324
"Chico Facility Referenced Docs/V&V Protocols & Reports/VV.SLQ020 A Report, Installation Qualification, Peristaltic Pump, ST-008.docx",Chico Facility Referenced Docs,Chico Facility Referenced Docs/V&V Protocols & Reports,1,"VV.SLQ020 A Report, Installation Qualification, Peristaltic Pump, ST-008.docx",Word,321
"Chico Facility Referenced Docs/V&V Protocols & Reports/VV.SLQ021 A Report, Installation Qualification, Pnuematic Drum Stirrer, ST-009.docx",Chico Facility Referenced Docs,Chico Facility Referenced Docs/V&V Protocols & Reports,1,"VV.SLQ021 A Report, Installation Qualification, Pnuematic Drum Stirrer, ST-009.docx",Word,321
"Chico Facility Referenced Docs/V&V Protocols & Reports/VV.SLQ022 A Report, Installation Qualification, Waste Diaphragm Pump, ST-004.docx",Chico Facility Referenced Docs,Chico Facility Referenced Docs/V&V Protocols & Reports,1,"VV.SLQ022 A Report, Installation Qualification, Waste Diaphragm Pump, ST-004.docx",Word,322
"Chico Facility Referenced Docs/V&V Protocols & Reports/VV.SLQ023 A Report, Installation Qualification, Floor Scale, Concentrate Reactor, ST-006.docx",Chico Facility Referenced Docs,Chico Facility Referenced Docs/V&V Protocols & Reports,1,"VV.SLQ023 A Report, Installation Qualification, Floor Scale, Concentrate Reactor, ST-006.docx",Word,322
"Chico Facility Referenced Docs/V&V Protocols & Reports/VV.SLQ024 A Report, Installation Qualification, Floor Scale, Suspension, ST-007.docx",Chico Facility Referenced Docs,Chico Facility Referenced Docs/V&V Protocols & Reports,1,"VV.SLQ024 A Report, Installation Qualification, Floor Scale, Suspension, ST-007.docx",Word,322
DC.SLQ001 (In Process)/DC.SLQ001 A Design Project Plan.docx,DC.SLQ001 (In Process),DC.SLQ001 (In Process),0,DC.SLQ001 A Design Project Plan.docx,Word,262
DC.SLQ001 (In Process)/DCO089.docx,DC.SLQ001 (In Process),DC.SLQ001 (In Process),0,DCO089.docx,Word,263
DC.SLQ001 (In Process)/FM1-QM.SLQ004 A Design Project Scope Form DC.SLQ001.docx,DC.SLQ001 (In Process),DC.SLQ001 (In Process),0,FM1-QM.SLQ004 A Design Project Scope Form DC.SLQ001.docx,Word,275
DC.SLQ001 (In Process)/Risk Management Review Confirmation Memo — DC.SLQ001.docx,DC.SLQ001 (In Process),DC.SLQ001 (In Process),0,Risk Management Review Confirmation Memo — DC.SLQ001.docx,Word,265
DC.SLQ001 (In Process)/TMP2-QM.SLQ007 A Design Input Output Matrix Template DC.SLQ001.docx,DC.SLQ001 (In Process),DC.SLQ001 (In Process),0,TMP2-QM.SLQ007 A Design Input Output Matrix Template DC.SLQ001.docx,Word,256
"DC.SLQ002 (In Process)/DC.SLQ002 A Design Project Plan, SilqQMS EDMS Transition.docx",DC.SLQ002 (In Process),DC.SLQ002 (In Process),0,"DC.SLQ002 A Design Project Plan, SilqQMS EDMS Transition.docx",Word,261
DC.SLQ002 (In Process)/Executed Design Project Scope Form DC.SLQ002 BM_CT signed.pdf,DC.SLQ002 (In Process),DC.SLQ002 (In Process),0,Executed Design Project Scope Form DC.SLQ002 BM_CT signed.pdf,PDF,788
DCOs/DCO Forms/DCO001.docx,DCOs,DCOs/DCO Forms,1,DCO001.docx,Word,69
DCOs/DCO Forms/DCO002.docx,DCOs,DCOs/DCO Forms,1,DCO002.docx,Word,73
DCOs/DCO Forms/DCO003.docx,DCOs,DCOs/DCO Forms,1,DCO003.docx,Word,72
DCOs/DCO Forms/DCO004.docx,DCOs,DCOs/DCO Forms,1,DCO004.docx,Word,72
DCOs/DCO Forms/DCO005.docx,DCOs,DCOs/DCO Forms,1,DCO005.docx,Word,65
DCOs/DCO Forms/DCO006.docx,DCOs,DCOs/DCO Forms,1,DCO006.docx,Word,68
DCOs/DCO Forms/DCO007.docx,DCOs,DCOs/DCO Forms,1,DCO007.docx,Word,82
DCOs/DCO Forms/DCO008.docx,DCOs,DCOs/DCO Forms,1,DCO008.docx,Word,259
DCOs/DCO Forms/DCO009.docx,DCOs,DCOs/DCO Forms,1,DCO009.docx,Word,263
DCOs/DCO Forms/DCO010.docx,DCOs,DCOs/DCO Forms,1,DCO010.docx,Word,260
DCOs/DCO Forms/DCO011.docx,DCOs,DCOs/DCO Forms,1,DCO011.docx,Word,260
DCOs/DCO Forms/DCO012.docx,DCOs,DCOs/DCO Forms,1,DCO012.docx,Word,260
DCOs/DCO Forms/DCO013.docx,DCOs,DCOs/DCO Forms,1,DCO013.docx,Word,264
DCOs/DCO Forms/DCO014.docx,DCOs,DCOs/DCO Forms,1,DCO014.docx,Word,262
DCOs/DCO Forms/DCO015.docx,DCOs,DCOs/DCO Forms,1,DCO015.docx,Word,260
DCOs/DCO Forms/DCO016.docx,DCOs,DCOs/DCO Forms,1,DCO016.docx,Word,261
DCOs/DCO Forms/DCO017.docx,DCOs,DCOs/DCO Forms,1,DCO017.docx,Word,260
DCOs/DCO Forms/DCO018.docx,DCOs,DCOs/DCO Forms,1,DCO018.docx,Word,260
DCOs/DCO Forms/DCO019.docx,DCOs,DCOs/DCO Forms,1,DCO019.docx,Word,260
DCOs/DCO Forms/DCO020.docx,DCOs,DCOs/DCO Forms,1,DCO020.docx,Word,260
DCOs/DCO Forms/DCO021.docx,DCOs,DCOs/DCO Forms,1,DCO021.docx,Word,260
