dco_number,document_number,document_title,from_rev,to_rev,change_description,originator,date_requested,effective_date,impact_assessments
001,FM1-QM.SLQ001,Document Change Order Form,-,A,,B. Wong,2020-09-22,2020-09-25,
001,FM1-QM.SLQ003,Employee Training Program Form,-,A,,B. Wong,2020-09-22,2020-09-25,
001,FM1-QM.SLQ014,Electronic Signature Acknowledgement Form,-,A,,B. Wong,2020-09-22,2020-09-25,
001,FM2-QM.SLQ001,Authorized Approvers Form,-,A,,B. Wong,2020-09-22,2020-09-25,
001,FM2-QM.SLQ003,Employee Training Record Form,-,A,,B. Wong,2020-09-22,2020-09-25,
001,QM.SLQ001,Document Control SOP,-,A,,B. Wong,2020-09-22,2020-09-25,Training
001,QM.SLQ002,Good Documentation Practices SOP,-,A,,B. Wong,2020-09-22,2020-09-25,Training
001,QM.SLQ003,Employee Training SOP,-,A,,B. Wong,2020-09-22,2020-09-25,Training
001,QM.SLQ014,Electronic Document System Work Instruction,-,A,,B. Wong,2020-09-22,2020-09-25,Training
001,QM.SLQ026,Part Numer Assignment Work Instruction,-,A,,B. Wong,2020-09-22,2020-09-25,Training
001,QM.SLQ034,Organization Chart,-,A,,B. Wong,2020-09-22,2020-09-25,Training
001,TMP1-QM.SLQ001,Controlled Document Template,-,A,,B. Wong,2020-09-22,2020-09-25,
002,FM1-QM.SLQ004,Design Project Scope Form,-,A,,B. Wong,2020-09-22,2020-09-25,
002,FM1-QM.SLQ008,Design Review Meeting Minutes Form,-,A,,B. Wong,2020-09-22,2020-09-25,
002,FM1-QM.SLQ009,Design Verification/Validation Deviation Form,-,A,,B. Wong,2020-09-22,2020-09-25,
002,QM.SLQ004,Design Control Program SOP,-,A,,B. Wong,2020-09-22,2020-09-25,Training
002,QM.SLQ005,Design Project Planning SOP,-,A,,B. Wong,2020-09-22,2020-09-25,Training
002,QM.SLQ006,Design Input SOP,-,A,,B. Wong,2020-09-22,2020-09-25,Training
002,QM.SLQ007,Design Output SOP,-,A,,B. Wong,2020-09-22,2020-09-25,Training
002,QM.SLQ008,Design Review SOP,-,A,,B. Wong,2020-09-22,2020-09-25,Training
002,QM.SLQ009,Design Verification and Validation SOP,-,A,,B. Wong,2020-09-22,2020-09-25,Training
002,QM.SLQ010,Design Transfer SOP,-,A,,B. Wong,2020-09-22,2020-09-25,Training
002,QM.SLQ011,Statistical Techniques - Work Instruction,-,A,,B. Wong,2020-09-22,2020-09-25,Training
002,QM.SLQ012,Risk Management SOP,-,A,,B. Wong,2020-09-22,2020-09-25,Training
002,QM.SLQ013,Risk Analysis SOP,-,A,,B. Wong,2020-09-22,2020-09-25,Training
002,TMP1-QM.SLQ005,Design Project Plan Template,-,A,,B. Wong,2020-09-22,2020-09-25,
002,TMP1-QM.SLQ006,User Needs (Design Input) Template,-,A,,B. Wong,2020-09-22,2020-09-25,
002,TMP1-QM.SLQ007,Source Control Specification Template,-,A,,B. Wong,2020-09-22,2020-09-25,
002,TMP1-QM.SLQ009,Design Verification/Validation Test Plan Template,-,A,,B. Wong,2020-09-22,2020-09-25,
002,TMP1-QM.SLQ010,Clinical Transfer Checklist Template,-,A,,B. Wong,2020-09-22,2020-09-25,
002,TMP1-QM.SLQ012,Risk Management Plan Template,-,A,,B. Wong,2020-09-22,2020-09-25,
002,TMP1-QM.SLQ013,Preliminary Hazard Analysis Template,-,A,,B. Wong,2020-09-22,2020-09-25,
002,TMP2-QM.SLQ006,Product Requirements (Design Input) Template,-,A,,B. Wong,2020-09-22,2020-09-25,
002,TMP2-QM.SLQ007,Design Input / Output Matrix Template,-,A,,B. Wong,2020-09-22,2020-09-25,
