document_number,title,doc_type,destination,current_rev,current_source_dco,current_file_path,superseded_revs,status,category,flags
AD.SLQ001,Patient Experience Release Form,SOP,records,A,Administration,Administration/AD.SLQ001 A Patient Experience Release Form.pdf,,Released,Quality Management System,
BOM-C.SLQ001,"Bill of Materials, Suspension",SOP,records,C,DMR,"DMR/BOM-C.SLQ001 C Bill of Materials, Suspension.xlsx",B,Released,Quality Management System,No physical file for prior revision A (history gap).
BOR-C.SLQ001,"Bill of Reference, Suspension",SOP,records,A,DMR,"DMR/BOR-C.SLQ001 A Bill of Reference, Suspension.pptx",,Released,Quality Management System,
DC.SLQ001,Design Project Plan,SOP,records,A,QMSInProcess package,QMSInProcess/DC.SLQ001/DC.SLQ001 A Design Project Plan.docx,,Released,Design Control,
DC.SLQ002,"Design Project Plan, Silq eQMS EDMS Transition",SOP,records,A,QMSInProcess package,"QMSInProcess/DC.SLQ002/DC.SLQ002 A Design Project Plan, Silq eQMS EDMS Transition.docx",,Released,Design Control,
FM1-QM.SLQ001,Document Change Order Form,Form,document_control,B,QMSInProcess package,QMSInProcess/DCO091/FM1-QM.SLQ001 B Document Change Order Form.docx,A,Released,Document & Records Control,
FM1-QM.SLQ003,Employee Training Program,Form,document_control,A,Forms/Templates/Travelers (clean),"Forms, Templates, and Travelers/Forms/FM1-QM.SLQ003 A Employee Training Program.docx",,Released,Training,
FM1-QM.SLQ004,Design Project Scope Form DC.SLQ001,Form,document_control,A,QMSInProcess package,QMSInProcess/DC.SLQ001/FM1-QM.SLQ004 A Design Project Scope Form DC.SLQ001.pdf,,Obsolete,Design Control,Marked OBSOLETE by DCO095 (QM.SLQ004–010 family superseded by QM.SLQ052).
FM1-QM.SLQ008,Design Review Meeting Minutes Form DC.SLQ002 Phase 0,Form,document_control,A,QMSInProcess package,QMSInProcess/DC.SLQ002/FM1-QM.SLQ008 A Design Review Meeting Minutes Form DC.SLQ002 Phase 0.docx,,Obsolete,Design Control,Marked OBSOLETE by DCO095 (QM.SLQ004–010 family superseded by QM.SLQ052).
FM1-QM.SLQ009,Design VV Deviation Form,Form,document_control,A,Forms/Templates/Travelers (clean),"Forms, Templates, and Travelers/Forms/FM1-QM.SLQ009 A Design VV Deviation Form.docx",,Obsolete,Design Control,Marked OBSOLETE by DCO095 (QM.SLQ004–010 family superseded by QM.SLQ052).
FM1-QM.SLQ014,Electronic Signature Acknowledgement Form,Form,document_control,B,QMSInProcess package,QMSInProcess/DCO091/FM1-QM.SLQ014 B Electronic Signature Acknowledgement Form.docx,A,Released,Document & Records Control,
FM1-QM.SLQ015,SQ SA Survey Mfg,Form,document_control,B,QMSInProcess package,QMSInProcess/DCO092/FM1-QM.SLQ015 B SQ SA Survey Mfg.docx,A,Released,Quality Management System,
FM1-QM.SLQ016,CAPA Report Form,Form,document_control,A,QMSInProcess package,QMSInProcess/CAPA004/FM1-QM.SLQ016 A CAPA Report Form.docx,,Released,CAPA & Complaints,Rev B exists only as a redline (working artifact); released master is missing.
FM1-QM.SLQ017,Internal Quality Audit Schedule Form,Form,document_control,B,Forms/Templates/Travelers (clean),"Forms, Templates, and Travelers/Forms/FM1-QM.SLQ017 B Internal Quality Audit Schedule Form.docx",A,Released,Quality Management System,
FM1-QM.SLQ018,Management Review Meeting Minutes,Form,document_control,A,QMSInProcess package,QMSInProcess/DCO093/FM1-QM.SLQ018 A Management Review Meeting Minutes.docx,,Released,Management & Quality System,Rev B exists only as a redline (working artifact); released master is missing.
FM1-QM.SLQ020,Purchase Order Form,Form,document_control,B,Forms/Templates/Travelers (clean),"Forms, Templates, and Travelers/Forms/FM1-QM.SLQ020 B Purchase Order Form.docx",A,Released,Supplier & Purchasing,
FM1-QM.SLQ021,Product Complaint File,Form,document_control,B,Forms/Templates/Travelers (clean),"Forms, Templates, and Travelers/Forms/FM1-QM.SLQ021 B Product Complaint File.docx",A,Released,CAPA & Complaints,
FM1-QM.SLQ029,DHR Review and Approval Form,Form,document_control,A,Forms/Templates/Travelers (clean),"Forms, Templates, and Travelers/Forms/FM1-QM.SLQ029 A DHR Review and Approval Form.docx",,Released,Document & Records Control,
FM1-QM.SLQ030,Recall Report Submitted to FDA Form,Form,document_control,A,Forms/Templates/Travelers (clean),"Forms, Templates, and Travelers/Forms/FM1-QM.SLQ030 A Recall Report Submitted to FDA Form.docx",,Released,CAPA & Complaints,
FM1-QM.SLQ036,Sales Order Form,Form,document_control,A,Forms/Templates/Travelers (clean),"Forms, Templates, and Travelers/Forms/FM1-QM.SLQ036 A Sales Order Form.docx",,Released,Sales & Order Management,
FM1-QM.SLQ039,Basic Receiving Inspection Form,Form,document_control,B,Forms/Templates/Travelers (clean),"Forms, Templates, and Travelers/Forms/FM1-QM.SLQ039 B Basic Receiving Inspection Form.docx",A,Released,Production & Process,
FM1-QM.SLQ040,Nonconforming Material Report Form,Form,document_control,B,QMSInProcess package,QMSInProcess/DCO094/FM1-QM.SLQ040 B Nonconforming Material Report Form.docx,A,Released,CAPA & Complaints,
FM1-QM.SLQ043,Work Order Form,Form,document_control,A,Forms/Templates/Travelers (clean),"Forms, Templates, and Travelers/Forms/FM1-QM.SLQ043 A Work Order Form.docx",,Released,Production & Process,
FM1-QM.SLQ046,Shipping Request Form,Form,document_control,A,Forms/Templates/Travelers (clean),"Forms, Templates, and Travelers/Forms/FM1-QM.SLQ046 A Shipping Request Form.docx",,Released,Production & Process,
FM1-QM.SLQ050,Equipment Master List,Form,document_control,A,Forms/Templates/Travelers (clean),"Forms, Templates, and Travelers/Forms/FM1-QM.SLQ050 A Equipment Master List.xlsx",,Released,Equipment & Facilities,
FM1-QM.SLQ051,Environmental Monitoring Log,Form,document_control,A,Forms/Templates/Travelers (clean),"Forms, Templates, and Travelers/Forms/FM1-QM.SLQ051 A Environmental Monitoring Log.docx",,Released,Equipment & Facilities,
FM1-QM.SLQ052,Design Project Scope Form,Form,document_control,A,QMSInProcess package,QMSInProcess/DCO095/FM1-QM.SLQ052 A Design Project Scope Form.docx,,Released,Design Control,
FM2-QM.SLQ001,Authorized Approvers Form,Form,document_control,C,(none),,A,Released,Quality Management System,Current revision C known from the DCO log but NO physical file located. | No physical file for prior revision B (history gap).
FM2-QM.SLQ003,Employee Training Record,Form,document_control,B,Forms/Templates/Travelers (clean),"Forms, Templates, and Travelers/Forms/FM2-QM.SLQ003 B Employee Training Record.docx",A,Released,Training,
FM2-QM.SLQ015,SQ SA Survey Test Srvcs,Form,document_control,B,QMSInProcess package,QMSInProcess/DCO092/FM2-QM.SLQ015 B SQ SA Survey Test Srvcs.docx,A,Released,Quality Management System,
FM2-QM.SLQ017,Internal Quality Audit Checklist,Form,document_control,B,QMSInProcess package,QMSInProcess/DCO092/FM2-QM.SLQ017 B Internal Quality Audit Checklist.docx,A,Released,Quality Management System,
FM2-QM.SLQ030,FSCA Report Form,Form,document_control,A,Forms/Templates/Travelers (clean),"Forms, Templates, and Travelers/Forms/FM2-QM.SLQ030 A FSCA Report Form.docx",,Released,CAPA & Complaints,
FM2-QM.SLQ039,General Inspection Form,Form,document_control,A,Forms/Templates/Travelers (clean),"Forms, Templates, and Travelers/Forms/FM2-QM.SLQ039 A General Inspection Form.docx",,Released,Quality Management System,
FM2-QM.SLQ040,NCMR Log,Form,document_control,A,Forms/Templates/Travelers (clean),"Forms, Templates, and Travelers/Forms/FM2-QM.SLQ040 A NCMR Log.docx",,Released,CAPA & Complaints,
FM2-QM.SLQ050,Equipment Requirements Form,Form,document_control,A,Forms/Templates/Travelers (clean),"Forms, Templates, and Travelers/Forms/FM2-QM.SLQ050 A Equipment Requirements Form.docx",,Released,Equipment & Facilities,
FM2-QM.SLQ052,Design Change Assessment,Form,document_control,A,QMSInProcess package,QMSInProcess/DCO095/FM2-QM.SLQ052 Design Change Assessment.docx,,Released,Design Control,Filename omits a revision; inferred current rev A from the DCO log. | File has no parseable revision: FM2-QM.SLQ052 Design Change Assessment.docx
FM3-QM.SLQ015,Cat II Supplier Assessment Form,Form,document_control,A,Forms/Templates/Travelers (clean),"Forms, Templates, and Travelers/Forms/FM3-QM.SLQ015 A Cat II Supplier Assessment Form.docx",,Released,Supplier & Purchasing,
FM3-QM.SLQ017,Internal Quality Audit Final Report,Form,document_control,A,Forms/Templates/Travelers (clean),"Forms, Templates, and Travelers/Forms/FM3-QM.SLQ017 A Internal Quality Audit Final Report.docx",,Released,Quality Management System,
FM3-QM.SLQ030,Field Safety Notice Form,Form,document_control,A,Forms/Templates/Travelers (clean),"Forms, Templates, and Travelers/Forms/FM3-QM.SLQ030 A Field Safety Notice Form.docx",,Released,CAPA & Complaints,
FM3-QM.SLQ050,Equipment Service Log,Form,document_control,A,Forms/Templates/Travelers (clean),"Forms, Templates, and Travelers/Forms/FM3-QM.SLQ050 A Equipment Service Log.docx",,Released,Equipment & Facilities,
FM3-QM.SLQ052,Design Review Record,Form,document_control,A,QMSInProcess package,QMSInProcess/DCO095/FM3-QM.SLQ052 A Design Review Record.docx,,Released,Design Control,
FM4-QM.SLQ015,Supplier Re-Evaluation Form,Form,document_control,A,Forms/Templates/Travelers (clean),"Forms, Templates, and Travelers/Forms/FM4-QM.SLQ015 A Supplier Re-Evaluation Form.docx",,Released,Supplier & Purchasing,
FM4-QM.SLQ017,Certificate of Internal Audit,Form,document_control,A,Forms/Templates/Travelers (clean),"Forms, Templates, and Travelers/Forms/FM4-QM.SLQ017 A Certificate of Internal Audit.docx",,Released,Management & Quality System,
